"version_ID","master_ID","publication","publication_year","local_path","DR_group_ID","locality","country","lat","long","mean_date_BP","date_range","SNP_hits","assessment"
"ASH1.SG","ASH1","CassidyNature2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Cassidy_Nature_2020/ASH1-B-EX3.trimmed25bp25q.sorted.grouped.duprm.indel.bam","Ireland_MN.SG","Ireland, Tipperary, Ashleypark","Ireland",52.93106,-8.187431,5501,"3640-3380 calBCE (4765±40 BP, GrN-11036)",678192,"PASS (literature)"
"I3255","I3255","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I3255_1240k.bam","England_BellBeaker","England, Cambridgeshire, Trumpington Meadows","Great Britain",52.170279,0.105604,3994,"2139-1947 calBCE (3661±31 BP, SUERC-49482)",861509,"PASS"
"Ajvide52.SG","Ajvide52","SkoglundScience2014","2012","/media/ydiekman/external2/Documents/__MAINZ/data/Skoglund_Science_2014/Ajv52.hs37d5.fa.merged.newhead.CORQUAL.bam","Sweden_PWC.SG","Gotland, Stora Karlsö","Sweden",57.287,18.206,4700,"2900-2600 BCE",108357,"PASS (literature)"
"I12643","I12643","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I12643_1240k.bam","Spain_IA_lc","Barcelona, Can Roqueta II","Spain",41.5373,2.1329,2553,"758-416 calBCE (2460±30 BP, Beta 449091)",6204,"PASS"
"Ajvide58.SG","Ajvide58","SkoglundScience2014","2014","/media/ydiekman/external2/Documents/__MAINZ/data/Skoglund_Science_2014/Ajv58.hs37d5.fa.merged.newhead.bam","Sweden_PWC.SG","Gotland, Stora Karlsö","Sweden",57.287,18.206,4700,"2900-2600 BCE",1043030,"PASS (literature)"
"I6591","I6591","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I6591_1240k.bam","Germany_BellBeaker","Irlbach LKR","Germany",48.841,12.75,4200,"2500-2000 BCE",815600,"PASS"
"VK117.SG","VK117","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VIL010","VIL010","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/VIL010.A0102.TF.bam","Italy_Sardinia_IA_Punic_1","Villamar, VS, Villamar","Italy",39.618016,8.958117,2741,"805-778 calBCE (2600±15 BP)",173540,"PASS (literature)"
"I6596_published","I6596","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I6596_1240k.bam","Spain_C_published","Madrid, Humanejos","Spain",40.22,-3.76,4550,"2900-2300 BCE",38024,"PASS"
"SB577A_lib.SG","I6770","BraceDiekmannNatureEcologyEvolution2019","2019","/media/ydiekman/external1/Documents/__MACE/__Wellcome/data/BAM/recalibrated/Gop_Cave_2.merged.indrealn.calmd_recalibrated.bam","Wales_N.SG","Wales, Flintshire, Gop Cave","Great Britain",53.30984,-3.372634,5200,"4000-2500 BCE",119193,"PASS (literature)"
